station_id,name,province,lat,lon,dataset_version,zip_member
1060841,BELLA COOLA A,BC,52.3875,-126.5958333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1060841_BELLA_COOLA_A.txt
1060842,BELLA COOLA BC HYDRO,BC,52.36666667,-126.8166667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1060842_BELLA_COOLA_BC_HYDRO.txt
1063461,HERBERT ISLAND (AUT),BC,50.93976111,-127.63205,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1063461_HERBERT_ISLAND_(AUT).txt
1064288,KITIMAT,BC,54.05,-128.6833333,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1064288_KITIMAT.txt
1066481,PRINCE RUPERT A,BC,54.2925,-130.4447222,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1066481_PRINCE_RUPERT_A.txt
1067742,STEWART A,BC,55.93611111,-129.985,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1067742_STEWART_A.txt
1068130,TERRACE A,BC,54.46638889,-128.5775,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1068130_TERRACE_A.txt
1068131,TERRACE PCC,BC,54.50194444,-128.6247222,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_106_BC_1068131_TERRACE_PCC.txt
1076638,QUICK,BC,54.61666667,-126.9,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_107_BC_1076638_QUICK.txt
1077500,SMITHERS A,BC,54.82472222,-127.1827778,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_107_BC_1077500_SMITHERS_A.txt
1084490,LAJOIE DAM,BC,50.83333333,-122.8666667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_108_BC_1084490_LAJOIE_DAM.txt
1086083,PEMBERTON BCFS,BC,50.31666667,-122.8166667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_108_BC_1086083_PEMBERTON_BCFS.txt
1086558,PUNTZI MOUNTAIN (AUT),BC,52.11444444,-124.1355556,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_108_BC_1086558_PUNTZI_MOUNTAIN_(AUT).txt
1087600,SOUTHBANK,BC,54.03333333,-125.7666667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_108_BC_1087600_SOUTHBANK.txt
1091169,BURNS LAKE,BC,54.23333333,-125.7666667,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1091169_BURNS_LAKE.txt
1092970,FORT ST JAMES,BC,54.45528028,-124.2855561,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1092970_FORT_ST_JAMES.txt
1092972,FORT ST JAMES A,BC,54.41666667,-124.25,v3.20,IDF_v-3.20_2021_03_26_BC/idf_v-3.20_2021_03_26_109_BC_1092972_FORT_ST_JAMES_A.txt
